,Doc. No.,G/L Account No,G/L Account Desc,Vendor No,Vendor Name,Vendor.acc.grp,Vendor.grp.description,Inv. Amount.,Doc. Date,Posting. Date,Baseline Date,Age,Outstanding Amount.,CumSum,True Outstanding
0,1004200101,108004,Employee Vendor,1912,MARY NANCY,V160,EMPLOYEE VENDOR - 3000 & 4000,"1,000.00",09-Nov-22,31-07-2023,09-11-2022,508,1000,1000,1000
0,1003614141,108004,Employee Vendor,7374,SAVITHA M L,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",31-Jan-24,31-01-2024,31-01-2024,60,-5000,-5000,-5000
1,1003616085,108004,Employee Vendor,7374,SAVITHA M L,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",29-Feb-24,29-02-2024,29-02-2024,31,-5000,-10000,-5000
2,1003618084,108004,Employee Vendor,7374,SAVITHA M L,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",31-Mar-24,31-03-2024,31-03-2024,0,-5000,-15000,-5000
0,1004200103,108004,Employee Vendor,7450,Bhaksar Srivatsa,V160,EMPLOYEE VENDOR - 3000 & 4000,"9,323.00",06-May-22,31-07-2023,06-05-2022,695,9323,9323,9323
1,1001700647,108004,Employee Vendor,7450,Bhaksar Srivatsa,V160,EMPLOYEE VENDOR - 3000 & 4000,"24,300.00",11-Aug-23,11-08-2023,11-08-2023,233,24300,33623,24300
0,1001700159,108004,Employee Vendor,7497,Sheshadri Vasan,V160,EMPLOYEE VENDOR - 3000 & 4000,"1,00,000.00",21-Sep-22,21-09-2022,21-09-2022,557,100000,100000,100000
0,1001601315,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-1,464.00",01-Dec-23,01-12-2023,01-12-2023,121,-1464,-1464,-1464
1,1001601883,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,-100,01-Feb-24,01-02-2024,01-02-2024,59,-100,-1564,-100
2,1001601884,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-6564,-5000
3,1001601885,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-11564,-5000
4,1001601886,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-16564,-5000
5,1001601887,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-21564,-5000
6,1001601888,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-26564,-5000
7,1001601889,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-4,900.00",01-Feb-24,01-02-2024,01-02-2024,59,-4900,-31464,-4900
8,1001601890,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-36464,-5000
9,1001601891,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-41464,-5000
10,1001601892,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,000.00",01-Feb-24,01-02-2024,01-02-2024,59,-5000,-46464,-5000
11,1001601893,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,"-5,999.00",01-Feb-24,01-02-2024,01-02-2024,59,-5999,-52463,-5999
12,1001601894,108004,Employee Vendor,7522,Prashanth Kumar,V160,EMPLOYEE VENDOR - 3000 & 4000,-745,01-Feb-24,01-02-2024,01-02-2024,59,-745,-53208,-745
0,1004203662,108004,Employee Vendor,7728,Chanchal Singh,V160,EMPLOYEE VENDOR - 3000 & 4000,"-55,311.00",31-Mar-22,31-03-2022,31-03-2022,731,-55311,-55311,-55311
0,1004203660,108004,Employee Vendor,9519,Bhanu Simha,V160,EMPLOYEE VENDOR - 3000 & 4000,"-6,176.00",31-Mar-22,31-03-2022,31-03-2022,731,-6176,-6176,-6176
0,1001700876,108004,Employee Vendor,9563,Shanmugam,V160,EMPLOYEE VENDOR - 3000 & 4000,0,05-Dec-22,05-12-2022,05-Dec-22,482,44831,7436,0
1,1001600232,108004,Employee Vendor,9563,Shanmugam,V160,EMPLOYEE VENDOR - 3000 & 4000,"-41,353.20",31-Dec-22,31-12-2022,31-Dec-22,456,-41353,-33917,-33917
2,1001600928,108004,Employee Vendor,9563,Shanmugam,V160,EMPLOYEE VENDOR - 3000 & 4000,"-42,552.00",31-Oct-23,31-10-2023,31-Oct-23,152,-42552,-76469,-42552
3,1001602227,108004,Employee Vendor,9563,Shanmugam,V160,EMPLOYEE VENDOR - 3000 & 4000,"-23,400.00",31-Mar-24,31-03-2024,31-Mar-24,0,-23400,-99869,-23400
0,1004200106,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",30-Apr-22,31-07-2023,30-04-2022,701,-19800,-19800,-19800
1,1004200121,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,405.9,30-Apr-22,31-07-2023,30-04-2022,701,405.9,-19394.1,405.9
2,1004200114,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,349.00",05-May-22,31-07-2023,05-05-2022,696,19349,-45.1,19349
3,1004200107,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",31-May-22,31-07-2023,31-05-2022,670,-19800,-19845.1,-19800
4,1004200115,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,425.00",02-Jun-22,31-07-2023,02-06-2022,668,19425,-420.1,19425
5,1004200108,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",30-Jun-22,31-07-2023,30-06-2022,640,-19800,-20220.1,-19800
6,1004200109,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",31-Jul-22,31-07-2023,31-07-2022,609,-19800,-40020.1,-19800
7,1004200116,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,513.00",02-Aug-22,31-07-2023,02-08-2022,607,19513,-20507.1,19513
8,1004200110,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",31-Aug-22,31-07-2023,31-08-2022,578,-19800,-40307.1,-19800
9,1004200117,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,534.00",01-Sep-22,31-07-2023,01-09-2022,577,19534,-20773.1,19534
10,1004200111,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"-19,800.00",30-Sep-22,31-07-2023,30-09-2022,548,-19800,-40573.1,-19800
11,1004200118,108004,Employee Vendor,9564,Mr.Sridhara B N B N,V160,EMPLOYEE VENDOR - 3000 & 4000,"19,415.00",01-Oct-22,31-07-2023,01-10-2022,547,19415,-21158.1,19415
